scenario,method,rmse_mm,mae_mm,p95_mm,max_mm,action_total_variation_mm,safety_clip_rate,return
unseen_path,no_compensation,4.392842592749522,4.384114950663414,4.806044403612502,5.022045789952085,0.0,0.0,-1214.828799902884
unseen_path,mean_bias,0.48501217080072995,0.44845643553716696,0.7652262609924717,0.8894024232697488,0.0,0.0,-14.97469199171527
unseen_path,projected_supervised_prior,0.38163537067264974,0.35763038115938334,0.5672805938624244,0.7367470679355353,0.0,0.0,-9.207520882327938
unseen_path,fixed_feedback,1.3570275353146033,1.2452052089833803,1.9745973488176922,2.2444048043293474,150.36744703780036,0.11746031746031745,-123.05122642320819
unseen_path,cem_smoke_policy,0.35397720424085694,0.3291757906499166,0.5329880417063992,0.7028702953214468,8.386950919431335,0.0,-7.908688762843482
unseen_path,ilc_repeated_path,0.27264888736307685,0.25090481579452373,0.44495999802299246,0.5514858141006892,6.712912086453424,0.0,-4.663171770529045
cross_date_drift,no_compensation,5.319538865180265,5.3079300831581815,5.830491414333528,5.989423945574133,0.0,0.0,-1780.5696789395029
cross_date_drift,mean_bias,1.3626712584846818,1.3301283064693454,1.7801326564912459,1.9783610509304992,0.0,0.0,-116.63768636748716
cross_date_drift,projected_supervised_prior,1.3337478861778451,1.3184008498370914,1.6370131367868779,1.7999698124963004,0.0,0.0,-111.72823777175483
cross_date_drift,fixed_feedback,1.4357496991986092,1.331411769266758,2.1429416001611643,2.4094284922455227,141.95332130310675,0.1746031746031746,-135.82621399532198
cross_date_drift,cem_smoke_policy,1.0493040950187598,1.0271568555023252,1.3857714275549844,1.539581573391263,10.78861456083127,0.0,-68.39253807669365
cross_date_drift,ilc_repeated_path,0.3689624051470945,0.3201918141974923,0.5413892549496954,1.3621328351054491,14.762488706641406,0.0,-7.649248248344935
workspace_holdout,no_compensation,4.339019289141963,4.330585857270863,4.762278316525849,4.95451330250938,0.0,0.0,-1185.0639519267738
workspace_holdout,mean_bias,0.7011703951280116,0.6704998703339476,1.0326126345345197,1.1593042589895521,0.0,0.0,-31.127138476699287
workspace_holdout,projected_supervised_prior,0.6835443216773761,0.6471544441264959,0.9953721174085954,1.1606286015899638,0.0,0.0,-29.492124723595378
workspace_holdout,fixed_feedback,1.4605982295704285,1.3583537730859105,2.1429730498329116,2.401544029474611,159.65648961509143,0.13650793650793652,-141.7001325849
workspace_holdout,cem_smoke_policy,0.5759118293325426,0.5414036976662391,0.8663880972824531,1.0385006438570201,10.175271667840533,0.0,-20.809273988379985
workspace_holdout,ilc_repeated_path,0.33419890149363335,0.30666801138338123,0.5282005603159678,0.7307104544590705,9.277936980264778,0.0,-6.939137124467225
noise_delay,no_compensation,4.963457654357197,4.943981739642893,5.6238372566724175,6.060482844380816,0.0,0.0,-1548.903058764613
noise_delay,mean_bias,1.0995123045116952,1.0421947482305198,1.6551942462161318,1.9910732555852129,0.0,0.0,-75.78683745695034
noise_delay,projected_supervised_prior,1.0777346729652013,1.0239532650145036,1.5632996054634298,1.915062713944716,0.0,0.0,-73.0819688849563
noise_delay,fixed_feedback,1.5235047834191298,1.4079549110435416,2.3797887528867228,2.736111380337575,107.96893271698517,0.1746031746031746,-151.97857415769892
noise_delay,cem_smoke_policy,0.9379670843073293,0.8796352660064638,1.4295086347631165,1.7002335116138911,16.206287857286526,0.0,-55.06852586958623
noise_delay,ilc_repeated_path,0.8121944215458431,0.7307364190971297,1.3435753288376602,1.7397353020858506,35.04530355852233,0.02857142857142857,-42.42130148779858
kinematic_perturbation,no_compensation,5.295520658200383,5.286911266330572,5.732247922179897,5.905638826121718,0.0,0.0,-1779.641156664591
kinematic_perturbation,mean_bias,1.4834046992847698,1.462667470670273,1.8136113847685453,1.9380963361913253,0.0,0.0,-157.01948749916332
kinematic_perturbation,projected_supervised_prior,1.4192901456839115,1.3976879512896905,1.7516800444867804,1.8983146115708593,0.0,0.0,-147.64761913849205
kinematic_perturbation,fixed_feedback,1.4652889239867182,1.359051911860159,2.1489161575752087,2.5078914879194825,139.79015091645897,0.17777777777777776,-141.28203026585726
kinematic_perturbation,cem_smoke_policy,1.1183808629614016,1.0917505068305764,1.4630941667168567,1.6842359499011264,10.750592486088257,0.0,-89.1690683240584
kinematic_perturbation,ilc_repeated_path,0.3810561104510107,0.3228113880497547,0.5290890831522868,1.4862140714633703,13.527696789966573,0.06666666666666667,-8.805181042513484
combined_shift,no_compensation,5.191353208713464,5.174349879870058,5.825394892160143,6.07279901326648,0.0,0.0,-1711.8765852510703
combined_shift,mean_bias,1.4893394062681526,1.449305011478517,1.997292509241485,2.199885409463054,0.0,0.0,-155.8589769767887
combined_shift,projected_supervised_prior,1.486293031016817,1.4414165838678275,1.9898794695529023,2.2175239745772872,0.0,0.0,-157.47869825810352
combined_shift,fixed_feedback,1.5812862888509733,1.4703452448246344,2.41467777994287,2.9085570580680384,95.91795497412795,0.2,-162.91727451660452
combined_shift,cem_smoke_policy,1.225381609517917,1.1778568518367982,1.7241011816734115,1.9479662369817539,14.62202395794744,0.0,-103.56416864396051
combined_shift,ilc_repeated_path,0.736991519105571,0.6456402877010877,1.36074513822557,1.8513191567160345,31.592190574008242,0.06031746031746031,-34.45417272546583
